0, 0, 1698, 3388, -1, -1, -1, -1
1, 0.0113699, 1694, 3382, -1, -1, -1, -1
2, 0.0229666, 2974, 16459, -1, -1, -1, -1
3, 0.128936, 4693, 25438, 13478.7, 34.9338, 0, -1
7, 0.101306, 2962, 16427, 258.507, 6.42556, -1, -1
6, 0.022638, 12573, 67543, 258.507, 5.26702, -1, -1
7, 0.169023, 4967, 25915, 258.507, 4.94282, -1, -1
8, 0.0722384, 4967, 24663, 258.507, 4.16077, -1, -1
9, 0.0125218, 4967, 24663, 258.507, 3.91864, -1, -1
6, 0.0175721, 8918, 42879, 258.507, 4.05953, -1, -1
7, 0.102202, 5190, 25873, 258.507, 3.91447, -1, -1
8, 0.0560992, 5190, 25825, 258.507, 3.85947, -1, -1
9, 0.0124409, 5190, 25825, 258.507, 3.78977, -1, -1
6, 0.0219914, 11221, 55222, 268.381, 4.06324, -1, -1
7, 0.131432, 6364, 32572, 29.5149, 3.81957, -1, -1
8, 0.0945748, 6364, 32501, 29.5149, 3.76655, -1, -1
9, 0.0144458, 6364, 32501, 29.5149, 3.66328, -1, -1
6, 0.0206982, 9979, 48486, 29.5149, 3.85126, -1, -1
7, 0.0999179, 6377, 32674, 29.5149, 3.67664, -1, -1
8, 0.0650115, 6377, 32659, 29.5149, 3.66341, -1, -1
9, 0.0145965, 6377, 32659, 29.5149, 3.61648, -1, -1
6, 0.0205485, 9921, 48417, 31.3913, 3.87499, -1, -1
7, 0.110055, 6721, 34661, 14.1923, 3.66578, -1, -1
8, 0.0730024, 6721, 34655, 14.1923, 3.65267, -1, -1
9, 0.0153088, 6721, 34655, 16.0893, 3.60661, -1, -1
6, 0.0205635, 9533, 46298, 17.5731, 3.77152, -1, -1
7, 0.0957172, 6759, 34898, 16.0893, 3.61818, -1, -1
8, 0.0628612, 6759, 34901, 12.8973, 3.61207, -1, -1
9, 0.01449, 6759, 34901, 12.8533, 3.59028, -1, -1
6, 0.0204695, 9471, 46014, 12.8533, 3.75132, -1, -1
7, 0.0936546, 6781, 35007, 12.8533, 3.60044, -1, -1
8, 0.0616584, 6781, 35001, 12.8533, 3.596, -1, -1
9, 0.0143897, 6781, 35001, 12.5047, 3.57928, -1, -1
6, 0.021099, 9784, 47754, 16.9426, 3.80682, -1, -1
7, 0.102493, 7018, 36310, 13.1421, 3.62206, -1, -1
8, 0.0689793, 7018, 36301, 9.45817, 3.61336, -1, -1
9, 0.0150659, 7018, 36301, 8.92202, 3.58866, -1, -1
7, 0.0746143, 6943, 35913, 8.92202, 3.58576, -1, -1
4, 1.92532, 6943, 35913, 8.92202, 3.58576, -1, -1
5, 0.0295585, 2832, 10551, 8.87556, 3.69008, -1, -1
-1, 2.11815, 2832, 10551, 8.87556, 3.69008, 0, 79
